"Time [s]","LVDT # 2 (195619) []","LVDT #1 (195620) []","LVDT #3 (196487) []","LVDT #4 (196488) []","LVDT #5 (194513) []","LVDT #6 (194512) []","LVDT #7 (198068) []","LVDT #8 (198067) []","channel 1 [mA]","channel 2 [mA]","channel 3 [mA]","channel 4 [mA]","channel 5 [mA]","channel 6 [mA]","channel 7 [mA]","channel 8 [mA]"
0.079,-0.060330517154,-0.032961530171,-0.091027369541,-0.135872040656,-0.172867265582,-0.225818433407,-0.281610024028,-0.388233898071,-0.267449855804,-0.489099502563,-0.370299339294,-0.553950309753,-0.466050148010,-0.614000320435,-0.571949958801,-0.786950111389
0.180,-0.060342868924,-0.032715060483,-0.090462151061,-0.134204221702,-0.172941550303,-0.224052785556,-0.281019318814,-0.388579234503,-0.265450000763,-0.489199638367,-0.368000030518,-0.547150611877,-0.466250419617,-0.609199523926,-0.570750236511,-0.787650108337
0.281,-0.060281227708,-0.032591884407,-0.091347136446,-0.137269920890,-0.173201193088,-0.225523808021,-0.281610024028,-0.387987128372,-0.264450550079,-0.488699913025,-0.371600151062,-0.559649467468,-0.466950416565,-0.613199234009,-0.571949958801,-0.786449909210
0.382,-0.060305931248,-0.032690378254,-0.090855295562,-0.134449365357,-0.172236552932,-0.224531201064,-0.281216064032,-0.388727202225,-0.265249729156,-0.488900184631,-0.369599342346,-0.548150062561,-0.464349746704,-0.610500335693,-0.571149826050,-0.787950038910
0.484,-0.060293579478,-0.033023235743,-0.090683221583,-0.136902205407,-0.173423693513,-0.228061795279,-0.281019318814,-0.388135331337,-0.267950534821,-0.488800048828,-0.368899345398,-0.558150291443,-0.467550277710,-0.620100021362,-0.570750236511,-0.786750316620
0.584,-0.060355220694,-0.033084823781,-0.090560378578,-0.135234386453,-0.173423693513,-0.224972437655,-0.281265367727,-0.388233898071,-0.268450260162,-0.489299774170,-0.368399620056,-0.551350593567,-0.467550277710,-0.611700057983,-0.571249961853,-0.786950111389
0.685,-0.060256524167,-0.032653472445,-0.091027369541,-0.137024777234,-0.172088337228,-0.227289455873,-0.281019318814,-0.388480667769,-0.264950275421,-0.488499641418,-0.370299339294,-0.558650016785,-0.463950157166,-0.618000030518,-0.570750236511,-0.787450313568
0.786,-0.060342868924,-0.032616449102,-0.091224059008,-0.133811711154,-0.173683336298,-0.226259669998,-0.281462582504,-0.388233898071,-0.264649868011,-0.489199638367,-0.371099472046,-0.545550346375,-0.468250274658,-0.615200042725,-0.571650505066,-0.786950111389
0.887,-0.060367572465,-0.032801330751,-0.091396132988,-0.134866203138,-0.171865836803,-0.224861602390,-0.281560720334,-0.388135331337,-0.266149997711,-0.489399909973,-0.371799468994,-0.549849510193,-0.463350296021,-0.611398696899,-0.571849822998,-0.786750316620
0.988,-0.060305931248,-0.033072482667,-0.090830914508,-0.135651224233,-0.171939767787,-0.227178620608,-0.281363975115,-0.388431266781,-0.268350124359,-0.488900184631,-0.369500160217,-0.553050041199,-0.463549613953,-0.617698669434,-0.571450233459,-0.787350177765
