Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],Weight,Model
0.053,-0.000529904,0.001227295,0.000147911,-0.000602259,-0.00267354,-0.001725174,0.000172668,2.5,1
0.153,-0.000455975,-0.000351614,0.000640478,-0.000553028,-0.000367832,-0.000538034,-0.000123738,2.5,1
0.256,-0.000406728,-0.0004996,0.001280487,-0.00062664,0.001643375,1.80E-05,-0.001060945,2.5,1
0.356,-0.000271093,0.001449392,0.000985135,-0.000553028,-0.001765947,-0.000983034,-0.001257608,2.5,1
0.456,-0.000147917,6.79E-05,0.000295822,-0.00062664,-0.002428162,-0.00209589,-7.39E-05,2.5,1
0.557,-8.63E-05,0.000758634,0.000197215,-0.000553028,-0.002256468,-0.00317125,0.000469074,2.5,1
0.659,-0.000147917,0.00032691,0.000689313,-0.000602259,0.001447119,-0.004173033,-0.000123738,2.5,1
0.76,-0.000209505,0.001104013,0.002166545,-0.000503797,-0.000809465,-0.003283031,0.000566935,2.5,1
0.861,-0.000320458,9.26E-05,0.007139645,0.000848414,0.001569925,0.001130896,0.009250217,2.5,1
0.963,-0.000727127,-0.005741926,0.005169845,0.000774333,0.000392394,0.00150232,0.006339793,2.5,1
1.063,-0.003031859,-0.011194115,-0.065435394,-0.021816589,-0.036423833,-0.047051588,-0.043783861,2.5,1
1.164,-0.003512457,-0.016103297,-0.076710914,-0.025159607,-0.043119904,-0.055694085,-0.108904714,2.5,1
1.265,-0.003450869,-0.011921811,-0.056425026,-0.019751702,-0.034363503,-0.043601947,-0.078169771,2.5,1
1.366,0.003832856,0.015350898,0.002806554,0.022087125,0.039416316,-0.003505178,0.00668513,2.5,1
1.466,0.005558262,0.024096422,0.117479434,0.03437799,0.064483658,0.071754441,0.162827069,2.5,1
1.568,0.006211518,0.021567721,0.10221595,0.030248214,0.058180098,0.062592659,0.138455915,2.5,1
1.67,0.00251412,0.00494012,0.046676512,0.012967204,0.025533419,0.026650174,0.062037761,2.5,1
1.772,0.001257089,0.002152384,-0.007779184,-0.001806777,-0.005273513,-0.006435533,0.027454246,2.5,1
1.871,-0.003352258,-0.017188841,-0.092466496,-0.028625937,-0.053838623,-0.064299085,-0.130759711,2.5,1
1.973,-0.006544258,-0.027093785,-0.149236648,-0.045857716,-0.082413531,-0.104284074,-0.210779902,2.5,1
2.075,-0.021308815,-0.083600665,-0.260315054,-0.127027872,-0.230267202,-0.287592588,-0.357351223,2.5,1
2.174,-0.029825007,-0.116214279,-0.592318619,-0.177396786,-0.324625989,-0.404543622,-0.791045793,2.5,1
2.276,-0.039536641,-0.154724276,-0.778581872,-0.231821394,-0.427790065,-0.526650723,-1.037469214,2.5,1
2.378,-0.061572582,-0.239428954,-0.975282952,-0.291482303,-0.536669169,-0.655990326,-1.299580507,2.5,1
2.478,-0.072787835,-0.279233887,-1.384342556,-0.417367313,-0.762938401,-0.925241309,-1.57402558,2.5,1
2.579,-0.084495909,-0.326834787,-1.604726313,-0.486787207,-0.888692651,-1.076131617,-2.137025119,2.5,1
2.68,-0.097633672,-0.374090308,-1.832102274,-0.559083128,-1.018837266,-1.230360139,-2.442748075,2.5,1
