Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],Weight,Model
0.062,0.001478877,0.001967461,0.001157228,0.001868433,-0.000625491,0.00515536,-7.38662E-05,5,1
0.164,0.001688441,0.000709227,0.001009317,0.001843583,-0.001238584,0.004821432,0.000962143,5,1
0.264,0.002082769,0.001079309,0.001501884,0.001843583,0.001704778,0.004116788,0.000419203,5,1
0.366,0.001910228,0.000228096,0.001895844,0.001229368,0.000552041,0.003041429,-0.00027147,5,1
0.467,0.0016761,0.002078509,0.000911179,0.001081675,-0.000576368,0.000111073,-0.00135641,5,1
0.567,0.001602171,0.000413255,7.39555E-05,0.000811139,-0.001238584,-0.000519286,-0.001208678,5,1
0.669,0.002107451,0.001116247,-0.000418142,0.000663915,8.58471E-05,-0.001001783,-0.00081347,5,1
0.769,0.002045863,0.000647586,-7.3486E-05,0.000466991,0.000429235,-0.000556782,-0.002145885,5,1
0.87,0.00176237,0.001819475,0.000320004,0.000516222,-0.002195065,0.00033322,-0.003428429,5,1
0.971,0.001626853,0.000141751,-0.00012279,0.00044261,-0.001508288,0.00107536,-0.003428429,5,1
1.072,0.002132133,0.00048713,-0.000861406,0.000466991,0.001361389,0.001743215,-0.002786686,5,1
1.172,0.002193721,0.001091544,-0.001107455,0.00044261,0.001287706,0.002484647,-0.002194815,5,1
1.274,0.001984157,0.001523267,-0.000270701,0.000418229,-0.002097054,0.002410362,-0.002688825,5,1
1.376,0.001540582,0.002078509,0.000369308,0.000418229,-0.002219626,0.001780003,-0.003230825,5,1
1.476,0.001799393,0.000228096,-0.000762799,0.000466991,0.000870868,0.000296431,-0.003428429,5,1
1.577,0.002119792,0.00148633,-0.00130467,0.000466991,0.001018001,-0.000519286,-0.002244687,5,1
1.678,0.002156698,0.001116247,-0.001156759,0.00044261,-0.001017767,-0.001224637,-0.001998152,5,1
1.779,-0.000936691,-0.011810763,-0.000418142,-0.020231118,-0.037711422,-0.001632141,-0.002638954,5,1
1.88,-0.004966711,-0.029474501,-0.153446479,-0.045673217,-0.083529426,-0.106231395,-0.216304344,5,1
1.981,-0.010722254,-0.049518954,-0.259157826,-0.077802289,-0.142960388,-0.177485299,-0.355081601,5,1
2.083,-0.025622446,-0.106482025,-0.386484382,-0.114921037,-0.212374171,-0.261684554,-0.520053613,5,1
2.183,-0.035383327,-0.142142645,-0.724888975,-0.21369197,-0.394910523,-0.483011987,-0.723705188,5,1
2.284,-0.046955884,-0.186573258,-0.932717664,-0.276450211,-0.508474257,-0.619510515,-1.242599525,5,1
2.384,-0.05818336,-0.227525612,-1.138133759,-0.338987146,-0.62439282,-0.754154754,-1.513245897,5,1
2.486,-0.078999294,-0.306173687,-1.328680329,-0.455703004,-0.835724663,-0.881899358,-1.760112986,5,1
2.586,-0.090670462,-0.350185045,-1.719620591,-0.521189578,-0.951839482,-1.151038914,-2.293512394,5,1
2.687,-0.10267437,-0.395664264,-1.937690831,-0.588495354,-1.070358018,-1.296402439,-2.581918657,5,1
2.788,-0.127273855,-0.489003299,-2.154184761,-0.65668635,-1.193585979,-1.442025606,-2.875308304,5,1
2.889,-0.139105223,-0.530362673,-2.377375542,-0.790339069,-1.434351201,-1.732826587,-3.168894613,5,1
2.99,-0.149889124,-0.569378269,-2.768315804,-0.845476824,-1.532364453,-1.851557978,-3.673975963,5,1
3.091,-0.158540833,-0.600696948,-2.921097623,-0.893633157,-1.620394885,-1.953895085,-3.872397149,5,1
3.192,-0.175388217,-0.661977258,-3.063244399,-0.982571258,-1.781738942,-2.048924698,-4.058879764,5,1
3.293,-0.184409689,-0.690989214,-3.339660162,-1.027703871,-1.858118617,-2.232900713,-4.415910116,5,1
3.394,-0.19349275,-0.723973146,-3.480132726,-1.072836719,-1.936239795,-2.328672466,-4.590207153,5,1
3.496,-0.211313789,-0.787473834,-3.6287296,-1.120599674,-2.024613615,-2.430267433,-4.772644062,5,1
3.596,-0.219829981,-0.814660198,-3.906179097,-1.206956665,-2.175950408,-2.610608449,-4.947680938,5,1
3.697,-0.225757947,-0.835938064,-4.001255402,-1.236405931,-2.22672298,-2.669955927,-5.219116785,5,1
3.798,-0.229196417,-0.849062584,-4.062456782,-1.255530758,-2.261601566,-2.707529846,-5.294153593,5,1
3.899,-0.236923835,-0.874978363,-4.115386411,-1.291494454,-2.324515533,-2.740541976,-5.360951962,5,1
4,-0.241348301,-0.888386622,-4.243796004,-1.313544539,-2.361454448,-2.826446949,-5.528194068,5,1
4.101,-0.244343078,-0.90312699,-4.297857975,-1.331637157,-2.397363198,-2.863798368,-5.599728346,5,1
4.203,-0.248336193,-0.915202904,-4.332865476,-1.343510261,-2.418604264,-2.887537288,-5.645263589,5,1
4.303,-0.248841473,-0.915868958,-4.358960982,-1.351917271,-2.430377709,-2.901891926,-5.669240006,5,1
4.403,-0.248681274,-0.916658413,-4.357927013,-1.352015733,-2.431579568,-2.900593712,-5.676048168,5,1
4.505,-0.248952426,-0.916572068,-4.358813306,-1.351892655,-2.434498368,-2.900222996,-5.67752808,5,1
4.606,-0.249223577,-0.917558916,-4.359945648,-1.352580951,-2.430573848,-2.901484068,-5.6796495,5,1
4.707,-0.249211236,-0.916670765,-4.365854108,-1.353441321,-2.436730392,-2.908197638,-5.69148974,5,1
4.807,-0.248040476,-0.917768543,-4.369645328,-1.353146404,-2.438177512,-2.910349065,-5.700665856,5,1
4.91,-0.248139087,-0.917706902,-4.370088357,-1.353072557,-2.436043616,-2.909421567,-5.70110976,5,1
5.01,-0.248052817,-0.916966854,-4.372107225,-1.353465936,-2.437196352,-2.908197638,-5.70110976,5,1
5.111,-0.247584442,-0.916658413,-4.371614893,-1.35211396,-2.438815283,-2.907900853,-5.706092437,5,1
5.211,-0.247239361,-0.916214337,-4.371663962,-1.351401049,-2.435111578,-2.908679781,-5.708361825,5,1
5.313,-0.24672174,-0.917743957,-4.372747234,-1.354105001,-2.441047306,-2.910571565,-5.709348433,5,1
5.413,-0.24771996,-0.917904295,-4.382643895,-1.356169889,-2.444898144,-2.918064064,-5.721336641,5,1
5.515,-0.247818571,-0.919840935,-4.387616759,-1.356956647,-2.444554755,-2.919584778,-5.728588706,5,1
5.617,-0.247547419,-0.921419726,-4.393968249,-1.358824845,-2.447081162,-2.922329775,-5.735890173,5,1
5.717,-0.248755203,-0.920852368,-4.395593158,-1.360201437,-2.452771629,-2.922922992,-5.737814223,5,1
5.818,-0.248804567,-0.921987202,-4.395642461,-1.360422742,-2.450073529,-2.924221206,-5.735841007,5,1
5.919,-0.248286946,-0.92197485,-4.396036187,-1.36032428,-2.448086765,-2.925927632,-5.737222353,5,1
6.02,-0.248792226,-0.922616319,-4.395543854,-1.36052097,-2.452820635,-2.926780845,-5.737567689,5,1
6.121,-0.248681274,-0.921654175,-4.395642461,-1.360717659,-2.450294228,-2.924592276,-5.737123551,5,1
6.222,-0.248459486,-0.923232966,-4.396134794,-1.360717659,-2.449999962,-2.923294062,-5.736630246,5,1
6.324,-0.249174331,-0.923183677,-4.396380843,-1.360742275,-2.451496087,-2.922960134,-5.737419486,5,1
6.424,-0.248718297,-0.921839098,-4.396528754,-1.361037192,-2.45080931,-2.925222988,-5.737271518,5,1
6.525,-0.248668933,-0.923072629,-4.397168763,-1.361356724,-2.449656574,-2.926854776,-5.736827615,5,1
6.626,-0.249100284,-0.92308498,-4.397464115,-1.36143057,-2.454267754,-2.927262988,-5.738504896,5,1
6.727,-0.248804567,-0.923393422,-4.397365743,-1.361553413,-2.451496087,-2.926632276,-5.739343537,5,1
6.827,-0.248903179,-0.922369519,-4.398104124,-1.361946792,-2.451643337,-2.924480849,-5.739195569,5,1
6.929,-0.249654929,-0.924281455,-4.398301104,-1.362118866,-2.453360278,-2.924555133,-5.738603698,5,1
7.031,-0.24900179,-0.92408418,-4.398350408,-1.362094251,-2.455077219,-2.925556562,-5.738949035,5,1
7.131,-0.249124966,-0.922776657,-4.398645761,-1.362118866,-2.450686739,-2.928338702,-5.738949035,5,1
7.232,-0.249581,-0.92396078,-4.398202732,-1.362413783,-2.455420608,-2.928598345,-5.739097002,5,1
7.333,-0.249346871,-0.923763387,-4.397858075,-1.362463014,-2.455175347,-2.927300131,-5.739639708,5,1
7.434,-0.249531753,-0.924355448,-4.398104124,-1.362438399,-2.452501807,-2.925927632,-5.740428947,5,1
7.535,-0.249765881,-0.922924643,-4.398498084,-1.362585857,-2.454292315,-2.925482631,-5.739886242,5,1
7.637,-0.249433141,-0.924885869,-4.398695064,-1.362659704,-2.455445169,-2.926632276,-5.739343537,5,1
7.737,-0.249630247,-0.924602248,-4.398892044,-1.362635088,-2.452722507,-2.92815299,-5.73924497,5,1
7.838,-0.249778222,-0.923307077,-4.398448781,-1.362684319,-2.455592302,-2.929080488,-5.739442339,5,1
7.939,-0.249383777,-0.924515904,-4.398153428,-1.362856393,-2.455445169,-2.927893347,-5.740182177,5,1
8.04,-0.249543976,-0.923936076,-4.398399712,-1.36290539,-2.452158419,-2.926224417,-5.740428947,5,1
8.141,-0.249741199,-0.924750234,-4.398645761,-1.36290539,-2.454856403,-2.925445489,-5.74033038,5,1
8.241,-0.24924826,-0.923196029,-4.398892044,-1.363077464,-2.455469613,-2.927188703,-5.739639708,5,1
8.343,-0.249568659,-0.925255951,-4.399286004,-1.363102079,-2.452992329,-2.928598345,-5.739097002,5,1
8.444,-0.249778222,-0.925058558,-4.399335073,-1.363126695,-2.451913159,-2.929599773,-5.739343537,5,1
8.545,-0.249543976,-0.92378809,-4.398645761,-1.363274153,-2.455813001,-2.927782274,-5.739590307,5,1
8.647,-0.250197233,-0.925132551,-4.398695064,-1.363397231,-2.45240368,-2.926298348,-5.740182177,5,1
8.747,-0.25024648,-0.924540489,-4.398892044,-1.363421612,-2.453899922,-2.925705132,-5.739985044,5,1
8.848,-0.249691952,-0.925403937,-4.398842741,-1.363470843,-2.455714873,-2.926298348,-5.739985044,5,1
8.949,-0.250221915,-0.923689394,-4.399581357,-1.363520074,-2.453433845,-2.929043345,-5.739097002,5,1
9.049,-0.25024648,-0.925786371,-4.39967973,-1.363642917,-2.452820635,-2.929710847,-5.739146168,5,1
9.151,-0.250012351,-0.925786371,-4.399187397,-1.363642917,-2.456990416,-2.929191561,-5.739491505,5,1
9.254,-0.250345091,-0.924059476,-4.398892044,-1.363667532,-2.452501807,-2.92633549,-5.739935643,5,1
9.355,-0.249938422,-0.925379351,-4.398990417,-1.36376576,-2.454439448,-2.926075848,-5.74033038,5,1
9.457,-0.24966727,-0.924787172,-4.398990417,-1.363814991,-2.456180951,-2.927040488,-5.740231578,5,1
9.558,-0.250406679,-0.925613682,-4.399286004,-1.363814991,-2.453556533,-2.929673704,-5.74003421,5,1
9.656,-0.249938422,-0.924034773,-4.39987671,-1.363839606,-2.453065895,-2.930193344,-5.739787675,5,1
9.757,-0.249975328,-0.926082343,-4.399433681,-1.363987065,-2.457456376,-2.929265846,-5.739985044,5,1
9.86,-0.250320409,-0.926082343,-4.399089024,-1.36401168,-2.456033818,-2.927596562,-5.740626316,5,1
9.961,-0.249790564,-0.924392504,-4.399138093,-1.36401168,-2.454905525,-2.926557991,-5.740823685,5,1
10.062,-0.249950763,-0.925527337,-4.398892044,-1.364159139,-2.456941294,-2.927411204,-5.740774284,5,1
10.163,-0.250628584,-0.925293006,-4.399236701,-1.364109908,-2.45532248,-2.928857987,-5.740527514,5,1
10.263,-0.250049374,-0.925934357,-4.39987671,-1.364183754,-2.453850799,-2.930119059,-5.74003421,5,1
10.364,-0.250443702,-0.924626834,-4.400024386,-1.364331213,-2.457603626,-2.929785131,-5.739935643,5,1
10.465,-0.250677831,-0.926575826,-4.399827406,-1.364429675,-2.456426211,-2.928301559,-5.740083611,5,1
10.567,-0.250098621,-0.926588178,-4.399729033,-1.364380444,-2.452747068,-2.926743703,-5.740626316,5,1
10.668,-0.250690172,-0.924935276,-4.399187397,-1.364503287,-2.457726198,-2.927707989,-5.740724883,5,1
10.768,-0.250912077,-0.925786371,-4.399384377,-1.364552518,-2.45532248,-2.929228703,-5.740576915,5,1
10.87,-0.250382114,-0.925823309,-4.40007369,-1.364552518,-2.454120621,-2.930378702,-5.740133012,5,1
10.971,-0.250825807,-0.926452426,-4.400369042,-1.364601749,-2.457996019,-2.930675487,-5.739935643,5,1
11.07,-0.250616243,-0.924959861,-4.400172062,-1.364699976,-2.456597905,-2.928190132,-5.739935643,5,1
11.171,-0.250320409,-0.926982846,-4.40007369,-1.364773823,-2.45301689,-2.926817634,-5.740428947,5,1
11.275,-0.251072276,-0.926760867,-4.39967973,-1.364749207,-2.456156389,-2.926891918,-5.740724883,5,1
11.375,-0.250628584,-0.925366999,-4.399532053,-1.364822819,-2.455273475,-2.929822274,-5.740626316,5,1
11.476,-0.250382114,-0.925946709,-4.40007369,-1.36487205,-2.454415004,-2.930897987,-5.740478348,5,1
