Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],weight,model
0.078,3.69646E-05,-0.000481013,-0.000615592,6.14215E-05,0.001508522,0.003097319,0.000370272,5,2
0.179,0.000295775,0.000752282,-0.000467681,1.21905E-05,-0.00099344,0.002095537,0.000469074,5,2
0.28,-0.00051768,-0.001147303,-0.000763033,3.70404E-05,0.002195299,0.00053768,0.000566935,5,2
0.38,0.000332799,0.000641469,-0.00071373,6.14215E-05,-6.12859E-05,-0.00038911,0.000370272,5,2
0.483,0.000221846,-0.000493483,-0.000467681,3.70404E-05,-0.002514126,-0.000500891,0.000419203,5,2
0.583,-0.000394387,0.000628999,-0.000812337,-3.70404E-05,0.001827349,0.000389818,0.000320401,5,2
0.684,0.000147917,-0.001097896,-0.000664896,-3.70404E-05,-0.001655655,0.001390893,0.000172668,5,2
0.785,-0.000308116,0.00070311,-0.000566288,-3.70404E-05,-0.001434839,0.002392675,0.000172668,5,2
0.886,-0.007961606,-0.035290655,-0.084514984,-0.058567043,-0.110289382,-0.053134092,-0.09420298,5,2
0.987,-0.01589847,-0.063821363,-0.379296138,-0.105863007,-0.2027593,-0.251910099,-0.452318742,5,2
1.088,-0.025622446,-0.104428338,-0.591605359,-0.16478592,-0.310755372,-0.396235407,-0.697656282,5,2
1.19,-0.053413813,-0.206056588,-0.853299038,-0.23533672,-0.442470029,-0.568416069,-0.988135034,5,2
1.29,-0.068338687,-0.258172001,-1.445962783,-0.402839252,-0.758732011,-0.957437014,-1.336581376,5,2
1.392,-0.079652433,-0.299926044,-1.681511417,-0.470882555,-0.880586186,-1.117340535,-1.917390207,5,2
1.493,-0.09039931,-0.338929406,-1.887174031,-0.530469382,-0.992948295,-1.257177276,-2.146793341,5,2
1.593,-0.108935194,-0.404564008,-2.076981984,-0.634992838,-1.186644531,-1.382547953,-2.351677118,5,2
1.695,-0.119028815,-0.442309137,-2.459502584,-0.693842139,-1.295867024,-1.633549656,-2.780290913,5,2
1.796,-0.130810936,-0.480720437,-2.681856141,-0.755985695,-1.414606376,-1.780433895,-3.019166334,5,2
1.897,-0.153179735,-0.559442505,-2.90869023,-0.819604305,-1.530304123,-1.930322774,-3.259027892,5,2
1.998,-0.162225772,-0.593351527,-3.28348095,-0.93140363,-1.737785246,-2.184625195,-3.47950168,5,2
2.099,-0.172085265,-0.625163453,-3.446208732,-0.98157562,-1.825226912,-2.293490161,-3.825480796,5,2
2.2,-0.181069714,-0.65378074,-3.60652392,-1.029117504,-1.908866863,-2.399981199,-3.99104562,5,2
2.301,-0.198792259,-0.713198521,-3.765312572,-1.122873676,-2.079041004,-2.506769022,-4.151578601,5,2
2.402,-0.207505556,-0.741667705,-4.066691265,-1.165695716,-2.153409355,-2.701984315,-4.438258652,5,2
2.503,-0.213199394,-0.762871695,-4.180329941,-1.198414387,-2.215881806,-2.773423577,-4.545658753,5,2
2.605,-0.221789515,-0.792426305,-4.264032588,-1.222455748,-2.259492231,-2.825834631,-4.624050123,5,2
2.705,-0.225437548,-0.800160396,-4.379788271,-1.256624858,-2.321302467,-2.901464966,-4.688727309,5,2
2.806,-0.226682238,-0.80738877,-4.409527321,-1.265499092,-2.337245576,-2.92182853,-4.762432172,5,2
2.907,-0.228469349,-0.811323573,-4.43252092,-1.272111516,-2.34700758,-2.937184597,-4.784237768,5,2
3.008,-0.230083802,-0.817108672,-4.449803039,-1.279953307,-2.363146945,-2.948349237,-4.801652793,5,2
3.11,-0.229923602,-0.816245224,-4.460241336,-1.280838292,-2.362214908,-2.952614948,-4.811469945,5,2
3.21,-0.230835552,-0.818465602,-4.463096959,-1.281649431,-2.365967617,-2.953431019,-4.814676775,5,2
3.313,-0.231414879,-0.818712285,-4.467035854,-1.283124485,-2.368150636,-2.956398163,-4.818228941,5,2
3.413,-0.230157731,-0.819785477,-4.469596359,-1.28270649,-2.369131678,-2.960070304,-4.826023476,5,2
3.514,-0.230958846,-0.817984471,-4.469399379,-1.282829333,-2.368641157,-2.961220303,-4.83371968,5,2
3.615,-0.230268683,-0.81985947,-4.470433348,-1.283984855,-2.367905375,-2.962296016,-4.83371968,5,2
3.716,-0.229603203,-0.818477954,-4.469251703,-1.281772274,-2.367390293,-2.960663875,-4.837666584,5,2
3.817,-0.230293366,-0.818613588,-4.467479118,-1.281747893,-2.365133708,-2.95795602,-4.844425109,5,2
3.918,-0.229344393,-0.817330768,-4.467971451,-1.282092041,-2.367856253,-2.957733519,-4.844425109,5,2
4.02,-0.22989892,-0.818909678,-4.47451992,-1.284673151,-2.37124113,-2.962518517,-4.844326778,5,2
