"Time [s]","LVDT #1 (195620) (AVG) []","LVDT #1 (195620) (RMS) []","LVDT #1 (195620) (MIN) []","LVDT #1 (195620) (MAX) []","LVDT #1 (195620) []","LVDT # 2 (195619) (AVG) []","LVDT # 2 (195619) (RMS) []","LVDT # 2 (195619) (MIN) []","LVDT # 2 (195619) (MAX) []","LVDT # 2 (195619) []","LVDT #7 (198068) (AVG) []","LVDT #7 (198068) (RMS) []","LVDT #7 (198068) (MIN) []","LVDT #7 (198068) (MAX) []","LVDT #7 (198068) []","LVDT #3 (196487) (AVG) []","LVDT #3 (196487) (RMS) []","LVDT #3 (196487) (MIN) []","LVDT #3 (196487) (MAX) []","LVDT #3 (196487) []","LVDT #4 (196488) (AVG) []","LVDT #4 (196488) (RMS) []","LVDT #4 (196488) (MIN) []","LVDT #4 (196488) (MAX) []","LVDT #4 (196488) []","LVDT #5 (194513) (AVG) []","LVDT #5 (194513) (RMS) []","LVDT #5 (194513) (MIN) []","LVDT #5 (194513) (MAX) []","LVDT #5 (194513) []","LVDT #8 (198067) (AVG) []","LVDT #8 (198067) (RMS) []","LVDT #8 (198067) (MIN) []","LVDT #8 (198067) (MAX) []","LVDT #8 (198067) []","channel 1 (AVG) [mA]","channel 1 (RMS) [mA]","channel 1 (MIN) [mA]","channel 1 (MAX) [mA]","channel 1 [mA]","channel 2 (AVG) [mA]","channel 2 (RMS) [mA]","channel 2 (MIN) [mA]","channel 2 (MAX) [mA]","channel 2 [mA]","channel 3 (AVG) [mA]","channel 3 (RMS) [mA]","channel 3 (MIN) [mA]","channel 3 (MAX) [mA]","channel 3 [mA]","channel 4 (AVG) [mA]","channel 4 (RMS) [mA]","channel 4 (MIN) [mA]","channel 4 (MAX) [mA]","channel 4 [mA]","channel 5 (AVG) [mA]","channel 5 (RMS) [mA]","channel 5 (MIN) [mA]","channel 5 (MAX) [mA]","channel 5 [mA]","channel 6 (AVG) [mA]","channel 6 (RMS) [mA]","channel 6 (MIN) [mA]","channel 6 (MAX) [mA]","channel 6 [mA]","channel 7 (AVG) [mA]","channel 7 (RMS) [mA]","channel 7 (MIN) [mA]","channel 7 (MAX) [mA]","channel 7 [mA]","channel 8 (AVG) [mA]","channel 8 (RMS) [mA]","channel 8 (MIN) [mA]","channel 8 (MAX) [mA]","channel 8 [mA]"
0.040,,,,,-0.000264981359,,,,,0.000894150546,,,,,0.000270935539,,,,,0.000086271423,,,,,0.000208418890,,,,,-0.000945538371,,,,,-0.000420143643,,,,,-0.002150058746,,,,,0.007248878479,,,,,0.000350952148,,,,,0.000849723816,,,,,-0.002549171448,,,,,0.000000000000,,,,,0.000550270081,,,,,-0.000851631165
0.140,,,,,0.000141687748,,,,,-0.001128716549,,,,,-0.000221631845,,,,,0.000037040448,,,,,0.000551807141,,,,,-0.001353750597,,,,,-0.000123737713,,,,,0.001149654388,,,,,-0.009150505066,,,,,0.000150680542,,,,,0.002249717712,,,,,-0.003649711609,,,,,0.000000000000,,,,,-0.000450134277,,,,,-0.000250816345
0.241,,,,,0.000560697970,,,,,0.000795571654,,,,,0.000320239234,,,,,0.000012190527,,,,,0.001851676696,,,,,0.002355533113,,,,,-0.000616806625,,,,,0.004549503326,,,,,0.006449699402,,,,,0.000049591064,,,,,0.007549285889,,,,,0.006350517273,,,,,0.000000000000,,,,,0.000650405884,,,,,-0.001250267029
0.343,,,,,0.000425180779,,,,,0.000400785543,,,,,0.000221631845,,,,,-0.000012190527,,,,,0.002097054267,,,,,-0.000500537521,,,,,-0.000024935737,,,,,0.003449916840,,,,,0.003249168396,,,,,-0.000049591064,,,,,0.008549690247,,,,,-0.001349449158,,,,,0.000000000000,,,,,0.000450134277,,,,,-0.000050544739
0.443,,,,,0.000178711092,,,,,-0.000413254949,,,,,0.000516984452,,,,,0.000037040448,,,,,-0.000404674164,,,,,0.002206963672,,,,,-0.000715608602,,,,,0.001450061798,,,,,-0.003350257874,,,,,0.000150680542,,,,,-0.001649856567,,,,,0.005949974060,,,,,0.000000000000,,,,,0.001049995422,,,,,-0.001450538635
0.544,,,,,-0.000092440824,,,,,-0.000067875920,,,,,-0.000024417068,,,,,0.000061421502,,,,,0.001606533040,,,,,0.000241602210,,,,,-0.000024935737,,,,,-0.000750064850,,,,,-0.000550270081,,,,,0.000249862671,,,,,0.006549835205,,,,,0.000651359558,,,,,0.000000000000,,,,,-0.000049591064,,,,,-0.000050544739
0.647,,,,,-0.000942802382,,,,,-0.000746399844,,,,,-0.000024417068,,,,,0.000086271423,,,,,0.000183857742,,,,,-0.002169467575,,,,,-0.000024935737,,,,,-0.007649898529,,,,,-0.006051063538,,,,,0.000350952148,,,,,0.000749588013,,,,,-0.005848884583,,,,,0.000000000000,,,,,-0.000049591064,,,,,-0.000050544739
0.747,,,,,-0.001115342917,,,,,0.000610412733,,,,,-0.000024417068,,,,,0.000037040448,,,,,0.002342431838,,,,,0.000241602210,,,,,-0.000715608602,,,,,-0.009049892426,,,,,0.004948616028,,,,,0.000150680542,,,,,0.009550094604,,,,,0.000651359558,,,,,0.000000000000,,,,,-0.000049591064,,,,,-0.001450538635
0.848,,,,,-0.001029072649,,,,,-0.001030137657,,,,,0.000024886627,,,,,0.000012190527,,,,,-0.000797184712,,,,,-0.003022680650,,,,,-0.000863341081,,,,,-0.008349895477,,,,,-0.008351325989,,,,,0.000049591064,,,,,-0.003250122070,,,,,-0.008149147034,,,,,0.000000000000,,,,,0.000050544739,,,,,-0.001749992371
0.949,,,,,-0.000819626306,,,,,-0.000437958490,,,,,-0.013859972820,,,,,-0.002986679152,,,,,-0.002784064683,,,,,-0.008030178285,,,,,-0.024494891927,,,,,-0.006650447845,,,,,-0.003550529480,,,,,-0.012149810791,,,,,-0.011350631714,,,,,-0.021649360657,,,,,0.000000000000,,,,,-0.028149604797,,,,,-0.049651145935
