"Time [s]","LVDT #1 (195620) (AVG) []","LVDT #1 (195620) (RMS) []","LVDT #1 (195620) (MIN) []","LVDT #1 (195620) (MAX) []","LVDT #1 (195620) []","LVDT # 2 (195619) (AVG) []","LVDT # 2 (195619) (RMS) []","LVDT # 2 (195619) (MIN) []","LVDT # 2 (195619) (MAX) []","LVDT # 2 (195619) []","LVDT #7 (198068) (AVG) []","LVDT #7 (198068) (RMS) []","LVDT #7 (198068) (MIN) []","LVDT #7 (198068) (MAX) []","LVDT #7 (198068) []","LVDT #3 (196487) (AVG) []","LVDT #3 (196487) (RMS) []","LVDT #3 (196487) (MIN) []","LVDT #3 (196487) (MAX) []","LVDT #3 (196487) []","LVDT #4 (196488) (AVG) []","LVDT #4 (196488) (RMS) []","LVDT #4 (196488) (MIN) []","LVDT #4 (196488) (MAX) []","LVDT #4 (196488) []","LVDT #5 (194513) (AVG) []","LVDT #5 (194513) (RMS) []","LVDT #5 (194513) (MIN) []","LVDT #5 (194513) (MAX) []","LVDT #5 (194513) []","LVDT #8 (198067) (AVG) []","LVDT #8 (198067) (RMS) []","LVDT #8 (198067) (MIN) []","LVDT #8 (198067) (MAX) []","LVDT #8 (198067) []","channel 1 (AVG) [mA]","channel 1 (RMS) [mA]","channel 1 (MIN) [mA]","channel 1 (MAX) [mA]","channel 1 [mA]","channel 2 (AVG) [mA]","channel 2 (RMS) [mA]","channel 2 (MIN) [mA]","channel 2 (MAX) [mA]","channel 2 [mA]","channel 3 (AVG) [mA]","channel 3 (RMS) [mA]","channel 3 (MIN) [mA]","channel 3 (MAX) [mA]","channel 3 [mA]","channel 4 (AVG) [mA]","channel 4 (RMS) [mA]","channel 4 (MIN) [mA]","channel 4 (MAX) [mA]","channel 4 [mA]","channel 5 (AVG) [mA]","channel 5 (RMS) [mA]","channel 5 (MIN) [mA]","channel 5 (MAX) [mA]","channel 5 [mA]","channel 6 (AVG) [mA]","channel 6 (RMS) [mA]","channel 6 (MIN) [mA]","channel 6 (MAX) [mA]","channel 6 [mA]","channel 7 (AVG) [mA]","channel 7 (RMS) [mA]","channel 7 (MIN) [mA]","channel 7 (MAX) [mA]","channel 7 [mA]","channel 8 (AVG) [mA]","channel 8 (RMS) [mA]","channel 8 (MIN) [mA]","channel 8 (MAX) [mA]","channel 8 [mA]"
0.061,,,,,-0.000135634725,,,,,-0.001110188894,,,,,-0.002880744427,,,,,-0.001044634404,,,,,0.000281985379,,,,,-0.002744997291,,,,,-0.001159747010,,,,,-0.001100540161,,,,,-0.009000301361,,,,,-0.004249572754,,,,,0.001149654388,,,,,-0.007400512695,,,,,0.000000000000,,,,,-0.005850791931,,,,,-0.002350807190
0.162,,,,,0.000874926252,,,,,0.000258975454,,,,,-0.002831440733,,,,,-0.001044634404,,,,,0.001827232505,,,,,0.000408212226,,,,,-0.001406281466,,,,,0.007099151611,,,,,0.002099514008,,,,,-0.004249572754,,,,,0.007449626923,,,,,0.001100540161,,,,,0.000000000000,,,,,-0.005750656128,,,,,-0.002850532532
0.263,,,,,0.000271034382,,,,,-0.000616823890,,,,,-0.002831440733,,,,,-0.001093865379,,,,,0.003470724226,,,,,-0.003894641774,,,,,-0.001505083443,,,,,0.002199172974,,,,,-0.005000591278,,,,,-0.004449844360,,,,,0.014150142670,,,,,-0.010499954224,,,,,0.000000000000,,,,,-0.005750656128,,,,,-0.003050804138
0.365,,,,,0.000702385718,,,,,-0.000049348264,,,,,-0.002584922261,,,,,-0.001093865379,,,,,0.003764990179,,,,,-0.000036788623,,,,,-0.002096954331,,,,,0.005699157715,,,,,-0.000400066376,,,,,-0.004449844360,,,,,0.015349864960,,,,,-0.000099182129,,,,,0.000000000000,,,,,-0.005249977112,,,,,-0.004250526428
0.465,,,,,0.000554527412,,,,,-0.001023844136,,,,,-0.002043520741,,,,,-0.001143096354,,,,,0.000281985379,,,,,-0.003338567581,,,,,-0.001998152354,,,,,0.004499435425,,,,,-0.008300304413,,,,,-0.004650115967,,,,,0.001149654388,,,,,-0.009000778198,,,,,0.000000000000,,,,,-0.004150390625,,,,,-0.004050254822
0.566,,,,,-0.000320398840,,,,,-0.000246741320,,,,,-0.001846775523,,,,,-0.001462863258,,,,,-0.001263261748,,,,,0.000815716978,,,,,-0.002639894716,,,,,-0.002599716187,,,,,-0.002000331879,,,,,-0.005950927734,,,,,-0.005150318146,,,,,0.002199172974,,,,,0.000000000000,,,,,-0.003750801086,,,,,-0.005351066589
0.667,,,,,0.000221669924,,,,,-0.002676746297,,,,,-0.001600257051,,,,,-0.001929854221,,,,,-0.001557527701,,,,,-0.002967143978,,,,,-0.002343488786,,,,,0.001798629761,,,,,-0.021700382233,,,,,-0.007850646973,,,,,-0.006350040436,,,,,-0.007999420166,,,,,0.000000000000,,,,,-0.003250122070,,,,,-0.004750251770
0.768,,,,,-0.000049364458,,,,,-0.005452130305,,,,,-0.001944913352,,,,,-0.010066562229,,,,,-0.011908297507,,,,,-0.000370716129,,,,,-0.003280696107,,,,,-0.000400543213,,,,,-0.044200420380,,,,,-0.040950775146,,,,,-0.048550128937,,,,,-0.000999450684,,,,,0.000000000000,,,,,-0.003950119019,,,,,-0.006649971008
0.869,,,,,-0.000271269451,,,,,-0.008807224073,,,,,-0.079640961820,,,,,-0.025700444434,,,,,-0.034204206544,,,,,-0.063575693691,,,,,-0.091687763743,,,,,-0.002201080322,,,,,-0.071400165558,,,,,-0.104549407959,,,,,-0.139450550079,,,,,-0.171400070190,,,,,0.000000000000,,,,,-0.161750793457,,,,,-0.185851097107
0.970,,,,,0.000320398840,,,,,-0.019045312528,,,,,-0.149458749490,,,,,-0.048758826542,,,,,-0.066801529174,,,,,-0.116246390413,,,,,-0.174025567106,,,,,0.002599716187,,,,,-0.154400348663,,,,,-0.198350906372,,,,,-0.272349834442,,,,,-0.313400268555,,,,,0.000000000000,,,,,-0.303550720215,,,,,-0.352749824524
