"Time [s]","LVDT # 2 (195619) []","LVDT #1 (195620) []","LVDT #3 (196487) []","LVDT #4 (196488) []","LVDT #5 (194513) []","LVDT #6 (194512) []","LVDT #7 (198068) []","LVDT #8 (198067) []","channel 1 [mA]","channel 2 [mA]","channel 3 [mA]","channel 4 [mA]","channel 5 [mA]","channel 6 [mA]","channel 7 [mA]","channel 8 [mA]"
0.004,-0.067558890870,-0.032031068903,-0.113274378294,-0.171167580907,-0.180897090131,-0.297462383409,-0.381462213619,-0.535668559891,-0.259900093079,-0.547699928284,-0.460800170898,-0.697850227356,-0.487698554993,-0.808800220490,-0.774749755859,-1.085800170898
0.105,-0.067336794273,-0.031858528369,-0.113175916344,-0.171830030174,-0.180823512884,-0.295255498967,-0.381117557317,-0.535273822470,-0.258500099182,-0.545899391174,-0.460399627686,-0.700551033020,-0.487500190735,-0.802799701691,-0.774049758911,-1.085000038147
0.206,-0.067349263680,-0.031994163094,-0.113298993781,-0.170456477173,-0.179487802862,-0.293858132848,-0.381609655143,-0.535027288014,-0.259600639343,-0.546000480652,-0.460900306702,-0.694951057434,-0.483899116516,-0.799000263214,-0.775049209595,-1.084500312805
0.308,-0.067151870624,-0.032006386674,-0.113077688827,-0.170480804406,-0.180786016787,-0.293674342726,-0.381511047754,-0.535668559891,-0.259699821472,-0.544400215149,-0.460000038147,-0.695050239563,-0.487399101257,-0.798500537872,-0.774848937988,-1.085800170898
0.408,-0.067620532087,-0.031895434178,-0.113126919802,-0.170701620828,-0.180860301507,-0.297241765114,-0.381413379483,-0.535569757914,-0.258799552917,-0.548199653625,-0.460200309753,-0.695950508118,-0.487599372864,-0.808200359344,-0.774650573730,-1.085599899292
0.509,-0.067040822326,-0.031981704445,-0.113175916344,-0.170014844328,-0.179673160927,-0.297646173531,-0.380920342540,-0.535717960879,-0.259499549866,-0.543499946594,-0.460399627686,-0.693150520325,-0.484398841858,-0.809299945831,-0.773649215698,-1.085900306702
0.610,-0.067657705034,-0.031870751949,-0.113347990323,-0.171191908140,-0.180749228163,-0.295697086302,-0.381068723182,-0.535471426423,-0.258599281311,-0.548501014709,-0.461099624634,-0.697949409485,-0.487299919128,-0.804000377655,-0.773950576782,-1.085400581360
0.711,-0.067633001493,-0.031870751949,-0.113347990323,-0.169303272763,-0.179710657024,-0.293968266624,-0.381462213619,-0.535422025435,-0.258599281311,-0.548300743103,-0.461099624634,-0.690249443054,-0.484499931335,-0.799299716949,-0.774749755859,-1.085300445557
0.812,-0.066979181109,-0.031957022216,-0.113151535289,-0.169671456078,-0.179747445647,-0.295182193365,-0.381609655143,-0.535323223458,-0.259299278259,-0.543000221252,-0.460300445557,-0.691750526428,-0.484599113464,-0.802600383759,-0.775049209595,-1.085100173950
0.913,-0.067595828546,-0.031870751949,-0.113200531831,-0.170259987983,-0.180526374002,-0.296984318645,-0.381363606230,-0.535323223458,-0.258599281311,-0.547999382019,-0.460499763489,-0.694149971008,-0.486699104309,-0.807500362396,-0.774549484253,-1.085100173950
1.015,-0.067485015519,-0.031907892827,-0.113323609269,-0.168837312685,-0.179896015088,-0.297719829878,-0.380724066880,-0.535717960879,-0.258900642395,-0.547101020813,-0.461000442505,-0.688349723816,-0.484999656677,-0.809500217438,-0.773250579834,-1.085900306702
1.115,-0.067299856598,-0.031969480865,-0.113397221298,-0.169965722030,-0.179858518991,-0.294225713092,-0.381363606230,-0.535224421482,-0.259400367737,-0.545599937439,-0.461299896240,-0.692950248718,-0.484898567200,-0.799999713898,-0.774549484253,-1.084899902344
1.216,-0.067398670762,-0.031895434178,-0.113151535289,-0.169107251405,-0.180563870099,-0.293306411738,-0.381314772095,-0.535717960879,-0.258799552917,-0.546401023865,-0.460300445557,-0.689450263977,-0.486800193787,-0.797500133514,-0.774450302124,-1.085900306702
1.317,-0.067472546113,-0.031969480865,-0.113249762806,-0.168126208951,-0.179896015088,-0.294740606029,-0.381708262531,-0.535273822470,-0.259400367737,-0.546999931335,-0.460700035095,-0.685450553894,-0.484999656677,-0.801399707794,-0.775249481201,-1.085000038147
1.418,-0.067608297952,-0.031920116407,-0.113151535289,-0.169573211483,-0.180304227314,-0.296690044003,-0.381560821007,-0.535422025435,-0.258999824524,-0.548100471497,-0.460300445557,-0.691349983215,-0.486100196838,-0.806700229645,-0.774950027466,-1.085300445557
1.519,-0.067151870624,-0.031907892827,-0.113397221298,-0.168395679840,-0.180304227314,-0.296542731310,-0.381068723182,-0.535372624447,-0.258900642395,-0.544400215149,-0.461299896240,-0.686549186707,-0.486100196838,-0.806299686432,-0.773950576782,-1.085200309753
1.620,-0.067719346250,-0.031932339987,-0.113200531831,-0.169131578638,-0.180081373152,-0.294593644081,-0.381511047754,-0.535175490979,-0.259099006653,-0.549000740051,-0.460499763489,-0.689549446106,-0.485499382019,-0.801000118256,-0.774848937988,-1.084800720215
1.722,-0.067706876844,-0.032018610254,-0.113200531831,-0.170480804406,-0.180118161776,-0.293306411738,-0.381314772095,-0.535668559891,-0.259799003601,-0.548899650574,-0.460499763489,-0.695050239563,-0.485598564148,-0.797500133514,-0.774450302124,-1.085800170898
1.822,-0.067040822326,-0.031883210598,-0.113102304314,-0.169695783311,-0.180229942593,-0.296506253881,-0.381609655143,-0.535076689003,-0.258700370789,-0.543499946594,-0.460100173950,-0.691849708557,-0.485899925232,-0.806200504303,-0.775049209595,-1.084600448608
1.923,-0.067669939168,-0.031932339987,-0.113274378294,-0.171143253674,-0.180229942593,-0.297903620000,-0.380871508404,-0.535422025435,-0.259099006653,-0.548600196838,-0.460800170898,-0.697751045227,-0.485899925232,-0.809999942780,-0.773550033569,-1.085300445557
2.024,-0.067102463542,-0.031846069720,-0.113175916344,-0.170750743126,-0.180081373152,-0.296837005952,-0.380970115793,-0.535175490979,-0.258399009705,-0.543999671936,-0.460399627686,-0.696150779724,-0.485499382019,-0.807099819183,-0.773750305176,-1.084800720215
