"Time [s]","LVDT #1 (195620) (AVG) []","LVDT #1 (195620) (RMS) []","LVDT #1 (195620) (MIN) []","LVDT #1 (195620) (MAX) []","LVDT #1 (195620) []","LVDT # 2 (195619) (AVG) []","LVDT # 2 (195619) (RMS) []","LVDT # 2 (195619) (MIN) []","LVDT # 2 (195619) (MAX) []","LVDT # 2 (195619) []","LVDT #7 (198068) (AVG) []","LVDT #7 (198068) (RMS) []","LVDT #7 (198068) (MIN) []","LVDT #7 (198068) (MAX) []","LVDT #7 (198068) []","LVDT #3 (196487) (AVG) []","LVDT #3 (196487) (RMS) []","LVDT #3 (196487) (MIN) []","LVDT #3 (196487) (MAX) []","LVDT #3 (196487) []","LVDT #4 (196488) (AVG) []","LVDT #4 (196488) (RMS) []","LVDT #4 (196488) (MIN) []","LVDT #4 (196488) (MAX) []","LVDT #4 (196488) []","LVDT #5 (194513) (AVG) []","LVDT #5 (194513) (RMS) []","LVDT #5 (194513) (MIN) []","LVDT #5 (194513) (MAX) []","LVDT #5 (194513) []","LVDT #8 (198067) (AVG) []","LVDT #8 (198067) (RMS) []","LVDT #8 (198067) (MIN) []","LVDT #8 (198067) (MAX) []","LVDT #8 (198067) []","channel 1 (AVG) [mA]","channel 1 (RMS) [mA]","channel 1 (MIN) [mA]","channel 1 (MAX) [mA]","channel 1 [mA]","channel 2 (AVG) [mA]","channel 2 (RMS) [mA]","channel 2 (MIN) [mA]","channel 2 (MAX) [mA]","channel 2 [mA]","channel 3 (AVG) [mA]","channel 3 (RMS) [mA]","channel 3 (MIN) [mA]","channel 3 (MAX) [mA]","channel 3 [mA]","channel 4 (AVG) [mA]","channel 4 (RMS) [mA]","channel 4 (MIN) [mA]","channel 4 (MAX) [mA]","channel 4 [mA]","channel 5 (AVG) [mA]","channel 5 (RMS) [mA]","channel 5 (MIN) [mA]","channel 5 (MAX) [mA]","channel 5 [mA]","channel 6 (AVG) [mA]","channel 6 (RMS) [mA]","channel 6 (MIN) [mA]","channel 6 (MAX) [mA]","channel 6 [mA]","channel 7 (AVG) [mA]","channel 7 (RMS) [mA]","channel 7 (MIN) [mA]","channel 7 (MAX) [mA]","channel 7 [mA]","channel 8 (AVG) [mA]","channel 8 (RMS) [mA]","channel 8 (MIN) [mA]","channel 8 (MAX) [mA]","channel 8 [mA]"
0.073,,,,,0.006648981133,,,,,0.026834868350,,,,,0.126957247728,,,,,0.038679839353,,,,,0.055310303363,,,,,0.085719261396,,,,,0.522397572499,,,,,0.053949832916,,,,,0.217550277710,,,,,0.157349586487,,,,,0.225500106812,,,,,0.231099128723,,,,,0.000000000000,,,,,0.257850170135,,,,,1.058899879456
0.174,,,,,0.006082112606,,,,,0.025737090044,,,,,0.126957247728,,,,,0.038655458298,,,,,0.054696976393,,,,,0.084309974127,,,,,0.521559167155,,,,,0.049350261688,,,,,0.208650588989,,,,,0.157250404358,,,,,0.222999572754,,,,,0.227299690247,,,,,0.000000000000,,,,,0.257850170135,,,,,1.057200431824
0.275,,,,,0.006205288683,,,,,0.022184485585,,,,,0.106277869641,,,,,0.033050629007,,,,,0.047191557184,,,,,0.068953553718,,,,,0.497089210966,,,,,0.050349712372,,,,,0.179849624634,,,,,0.134449958801,,,,,0.192399978638,,,,,0.185898780823,,,,,0.000000000000,,,,,0.215850353241,,,,,1.007599830627
0.377,,,,,0.003210511559,,,,,0.013303209707,,,,,0.052904977052,,,,,0.018596414737,,,,,0.023620339741,,,,,0.034940348888,,,,,0.427084717188,,,,,0.026050090790,,,,,0.107849121094,,,,,0.075650215149,,,,,0.096300125122,,,,,0.094199180603,,,,,0.000000000000,,,,,0.107450008392,,,,,0.865700721741
0.478,,,,,-0.006192947568,,,,,-0.024996924903,,,,,-0.030846973759,,,,,-0.039343754216,,,,,-0.056610406834,,,,,-0.017841421178,,,,,0.318698007953,,,,,-0.050249576569,,,,,-0.202650070190,,,,,-0.160050392151,,,,,-0.230800628662,,,,,-0.048100471497,,,,,0.000000000000,,,,,-0.062650203705,,,,,0.646000862122
0.578,,,,,-0.015423983695,,,,,-0.058289063584,,,,,-0.307508315552,,,,,-0.086295569541,,,,,-0.121609030736,,,,,-0.204822429917,,,,,-0.039713219227,,,,,-0.125150203705,,,,,-0.472549438477,,,,,-0.351050376892,,,,,-0.495800018311,,,,,-0.552201271057,,,,,0.000000000000,,,,,-0.624549388885,,,,,-0.080498695374
0.679,,,,,-0.025690145495,,,,,-0.096996453712,,,,,-0.500713998258,,,,,-0.144014433539,,,,,-0.201864104543,,,,,-0.340764175890,,,,,-0.295609397493,,,,,-0.208449840546,,,,,-0.786350250244,,,,,-0.585850715637,,,,,-0.822999954224,,,,,-0.918700218201,,,,,0.000000000000,,,,,-1.016950130463,,,,,-0.599200248718
0.782,,,,,-0.046629255735,,,,,-0.173818819529,,,,,-0.707016150861,,,,,-0.202839353443,,,,,-0.286117265527,,,,,-0.480897702520,,,,,-0.560631114506,,,,,-0.378349781036,,,,,-1.409149169922,,,,,-0.825150489807,,,,,-1.166500091553,,,,,-1.296500205994,,,,,0.000000000000,,,,,-1.435949802399,,,,,-1.136399269104
0.882,,,,,-0.054430603129,,,,,-0.203040520478,,,,,-1.041826739328,,,,,-0.297185125135,,,,,-0.420627916798,,,,,-0.698553348507,,,,,-0.788702774236,,,,,-0.441649913788,,,,,-1.646049499512,,,,,-1.208949089050,,,,,-1.714900016785,,,,,-1.883299827576,,,,,0.000000000000,,,,,-2.115950107574,,,,,-1.598700523376
0.982,,,,,-0.062700207668,,,,,-0.236209376726,,,,,-1.196627191931,,,,,-0.341654292719,,,,,-0.479298653134,,,,,-0.798887598055,,,,,-1.193586687296,,,,,-0.508749485016,,,,,-1.914949417114,,,,,-1.389849662781,,,,,-1.954100608826,,,,,-2.153800964355,,,,,0.000000000000,,,,,-2.430349826813,,,,,-2.419400215149
1.084,,,,,-0.071832632413,,,,,-0.265505188297,,,,,-1.352954180824,,,,,-0.386147841357,,,,,-0.544714348732,,,,,-0.901817921715,,,,,-1.391168998037,,,,,-0.582849979401,,,,,-2.152450561523,,,,,-1.570849418640,,,,,-2.220800399780,,,,,-2.431301116943,,,,,0.000000000000,,,,,-2.747849941254,,,,,-2.819899559021
1.185,,,,,-0.087459891895,,,,,-0.327204869798,,,,,-1.499975449578,,,,,-0.474815640595,,,,,-0.665268653568,,,,,-1.002745034079,,,,,-1.576566202157,,,,,-0.709649562836,,,,,-2.652649879456,,,,,-1.931550025940,,,,,-2.712300300598,,,,,-2.703400611877,,,,,0.000000000000,,,,,-3.046450138092,,,,,-3.195699691772
1.286,,,,,-0.096395093877,,,,,-0.358770230967,,,,,-1.815682030382,,,,,-0.523783112698,,,,,-0.735688039945,,,,,-1.222107106217,,,,,-1.990231728989,,,,,-0.782149791718,,,,,-2.908550262451,,,,,-2.130749702454,,,,,-2.999400138855,,,,,-3.294800758362,,,,,0.000000000000,,,,,-3.687650203705,,,,,-4.034199714661
1.327,-0.046354424992,0.056670989770,-0.096395093877,0.003210511559,,-0.173152823829,0.211450505722,-0.358770230967,0.013303209707,,-0.840024605342,1.036500379816,-1.815682030382,0.052904977052,,-0.247748270851,0.304167732469,-0.523783112698,0.018596414737,,-0.348817808008,0.427592289435,-0.735688039945,0.023620339741,,-0.563349638919,0.694938221524,-1.222107106217,0.034940348888,,-0.709042739680,1.054318492216,-1.990231728989,0.427084717188,,-0.376119792461,0.459828406572,-0.782149791718,0.026050090790,,-1.403749942780,1.714229226112,-2.908550262451,0.107849121094,,-1.007839918137,1.237354278564,-2.130749702454,0.075650215149,,-1.422130227089,1.743293762207,-2.999400138855,0.096300125122,,-1.518790602684,1.873553395271,-3.294800758362,0.094199180603,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-1.706089973450,2.105132341385,-3.687650203705,0.107450008392,,-1.437229633331,2.137103557587,-4.034199714661,0.865700721741,
1.386,,,,,-0.104184100156,,,,,-0.392975224304,,,,,-1.977129560102,,,,,-0.571915064824,,,,,-0.799067967190,,,,,-1.329043144996,,,,,-2.197582261811,,,,,-0.845349788666,,,,,-3.185850143433,,,,,-2.326550483704,,,,,-3.257800102234,,,,,-3.583100318909,,,,,0.000000000000,,,,,-4.015550136566,,,,,-4.454499244690
1.489,,,,,-0.125135551511,,,,,-0.468194212678,,,,,-2.156302002719,,,,,-0.624717395449,,,,,-0.874834432595,,,,,-1.446402391270,,,,,-2.432560179701,,,,,-1.015349864960,,,,,-3.795650482178,,,,,-2.541350364685,,,,,-3.566699981689,,,,,-3.899500846863,,,,,0.000000000000,,,,,-4.379449367523,,,,,-4.930799484253
1.589,,,,,-0.134304882066,,,,,-0.506334009543,,,,,-2.544583621605,,,,,-0.740031811574,,,,,-1.034265527077,,,,,-1.712834092205,,,,,-2.694671943262,,,,,-1.089749813080,,,,,-4.104849815369,,,,,-3.010449409485,,,,,-4.216700553894,,,,,-4.617800712585,,,,,0.000000000000,,,,,-5.168049335480,,,,,-5.462100028992
1.690,,,,,-0.144139692529,,,,,-0.539120549086,,,,,-2.715288037329,,,,,-0.789417512532,,,,,-1.103777320531,,,,,-1.827930484398,,,,,-3.158411252775,,,,,-1.169549465179,,,,,-4.370650291443,,,,,-3.211350440979,,,,,-4.500100135803,,,,,-4.928100585938,,,,,0.000000000000,,,,,-5.514750003815,,,,,-6.402099609375
1.791,,,,,-0.151250877785,,,,,-0.566171161693,,,,,-2.846947214041,,,,,-0.826708335089,,,,,-1.153666861419,,,,,-1.913167956321,,,,,-3.325012086587,,,,,-1.227249622345,,,,,-4.589949607849,,,,,-3.363049507141,,,,,-4.703499794006,,,,,-5.157900810242,,,,,0.000000000000,,,,,-5.782149791718,,,,,-6.739799499512
1.892,,,,,-0.160568184179,,,,,-0.602103167814,,,,,-2.944042153220,,,,,-0.879314210680,,,,,-1.227642936042,,,,,-1.976187222082,,,,,-3.448051128943,,,,,-1.302850246429,,,,,-4.881250381470,,,,,-3.577050209045,,,,,-5.005100250244,,,,,-5.327800750732,,,,,0.000000000000,,,,,-5.979349613190,,,,,-6.989199638367
1.993,,,,,-0.166533173732,,,,,-0.620704345967,,,,,-3.123658329087,,,,,-0.908271870196,,,,,-1.270664711925,,,,,-2.100222896044,,,,,-3.682387774956,,,,,-1.351250171661,,,,,-5.032050132751,,,,,-3.694849967957,,,,,-5.180500030518,,,,,-5.662200927734,,,,,0.000000000000,,,,,-6.344150066376,,,,,-7.464200019836
2.094,,,,,-0.171968200567,,,,,-0.644535616645,,,,,-3.239955413758,,,,,-0.943301349966,,,,,-1.316041317178,,,,,-2.180341443251,,,,,-3.836507096218,,,,,-1.395349979401,,,,,-5.225250244141,,,,,-3.837349891663,,,,,-5.365500450134,,,,,-5.878200531006,,,,,0.000000000000,,,,,-6.580349445343,,,,,-7.776599884033
2.196,,,,,-0.186806686529,,,,,-0.694467707599,,,,,-3.368906643753,,,,,-0.981944383304,,,,,-1.371621325345,,,,,-2.264948202524,,,,,-4.001627782324,,,,,-1.515749454498,,,,,-5.630049705505,,,,,-3.994549751282,,,,,-5.592100143433,,,,,-6.106300354004,,,,,0.000000000000,,,,,-6.842249393463,,,,,-8.111299514771
2.296,,,,,-0.191995243677,,,,,-0.719224184704,,,,,-3.602190830037,,,,,-1.050872671452,,,,,-1.463846099532,,,,,-2.419325293702,,,,,-4.151948402830,,,,,-1.557849407196,,,,,-5.830750465393,,,,,-4.274950027466,,,,,-5.968100547791,,,,,-6.522500991821,,,,,0.000000000000,,,,,-7.316049575806,,,,,-8.415999412537
