"Time [s]","LVDT # 2 (195619) (AVG) []","LVDT # 2 (195619) (RMS) []","LVDT # 2 (195619) (MIN) []","LVDT # 2 (195619) (MAX) []","LVDT # 2 (195619) []","LVDT #1 (195620) (AVG) []","LVDT #1 (195620) (RMS) []","LVDT #1 (195620) (MIN) []","LVDT #1 (195620) (MAX) []","LVDT #1 (195620) []","LVDT #3 (196487) (AVG) []","LVDT #3 (196487) (RMS) []","LVDT #3 (196487) (MIN) []","LVDT #3 (196487) (MAX) []","LVDT #3 (196487) []","LVDT #4 (196488) (AVG) []","LVDT #4 (196488) (RMS) []","LVDT #4 (196488) (MIN) []","LVDT #4 (196488) (MAX) []","LVDT #4 (196488) []","LVDT #5 (194513) (AVG) []","LVDT #5 (194513) (RMS) []","LVDT #5 (194513) (MIN) []","LVDT #5 (194513) (MAX) []","LVDT #5 (194513) []","LVDT #7 (198068) (AVG) []","LVDT #7 (198068) (RMS) []","LVDT #7 (198068) (MIN) []","LVDT #7 (198068) (MAX) []","LVDT #7 (198068) []","LVDT #8 (198067) (AVG) []","LVDT #8 (198067) (RMS) []","LVDT #8 (198067) (MIN) []","LVDT #8 (198067) (MAX) []","LVDT #8 (198067) []","channel 1 (AVG) [mA]","channel 1 (RMS) [mA]","channel 1 (MIN) [mA]","channel 1 (MAX) [mA]","channel 1 [mA]","channel 2 (AVG) [mA]","channel 2 (RMS) [mA]","channel 2 (MIN) [mA]","channel 2 (MAX) [mA]","channel 2 [mA]","channel 3 (AVG) [mA]","channel 3 (RMS) [mA]","channel 3 (MIN) [mA]","channel 3 (MAX) [mA]","channel 3 [mA]","channel 4 (AVG) [mA]","channel 4 (RMS) [mA]","channel 4 (MIN) [mA]","channel 4 (MAX) [mA]","channel 4 [mA]","channel 5 (AVG) [mA]","channel 5 (RMS) [mA]","channel 5 (MIN) [mA]","channel 5 (MAX) [mA]","channel 5 [mA]","channel 6 (AVG) [mA]","channel 6 (RMS) [mA]","channel 6 (MIN) [mA]","channel 6 (MAX) [mA]","channel 6 [mA]","channel 7 (AVG) [mA]","channel 7 (RMS) [mA]","channel 7 (MIN) [mA]","channel 7 (MAX) [mA]","channel 7 [mA]","channel 8 (AVG) [mA]","channel 8 (RMS) [mA]","channel 8 (MIN) [mA]","channel 8 (MAX) [mA]","channel 8 [mA]"
0.062,,,,,0.001967460582,,,,,0.001478876890,,,,,0.001868432719,,,,,-0.000625490587,,,,,0.005155359602,,,,,0.001157228140,,,,,-0.000073866240,,,,,0.011999607086,,,,,0.015950202942,,,,,0.007600784302,,,,,-0.002550125122,,,,,0.013898849487,,,,,0.000000000000,,,,,0.002350330353,,,,,-0.000149726868
0.164,,,,,0.000709226897,,,,,0.001688440768,,,,,0.001843582798,,,,,-0.001238583641,,,,,0.004821432097,,,,,0.001009317057,,,,,0.000962143057,,,,,0.013700008392,,,,,0.005749702454,,,,,0.007499694824,,,,,-0.005049705505,,,,,0.012998580933,,,,,0.000000000000,,,,,0.002049922943,,,,,0.001950263977
0.264,,,,,0.001079309468,,,,,0.002082768761,,,,,0.001843582798,,,,,0.001704777635,,,,,0.004116788462,,,,,0.001501884442,,,,,0.000419202672,,,,,0.016899585724,,,,,0.008749961853,,,,,0.007499694824,,,,,0.006950378418,,,,,0.011098861694,,,,,0.000000000000,,,,,0.003050327301,,,,,0.000849723816
0.366,,,,,0.000228096028,,,,,0.001910228226,,,,,0.001229367777,,,,,0.000552041056,,,,,0.003041428699,,,,,0.001895844437,,,,,-0.000271470193,,,,,0.015499591827,,,,,0.001849174500,,,,,0.005001068115,,,,,0.002250671387,,,,,0.008199691772,,,,,0.000000000000,,,,,0.003850460052,,,,,-0.000550270081
0.467,,,,,0.002078508881,,,,,0.001676099654,,,,,0.001081674851,,,,,-0.000576368289,,,,,0.000111073344,,,,,0.000911179227,,,,,-0.001356409992,,,,,0.013599872589,,,,,0.016850471497,,,,,0.004400253296,,,,,-0.002349853516,,,,,0.000299453735,,,,,0.000000000000,,,,,0.001850605011,,,,,-0.002749443054
0.567,,,,,0.000413254949,,,,,0.001602170501,,,,,0.000811138922,,,,,-0.001238583641,,,,,-0.000519285570,,,,,0.000073955542,,,,,-0.001208677513,,,,,0.013000011444,,,,,0.003350257874,,,,,0.003299713135,,,,,-0.005049705505,,,,,-0.001399993896,,,,,0.000000000000,,,,,0.000150203705,,,,,-0.002449989319
0.669,,,,,0.001116247143,,,,,0.002107450990,,,,,0.000663914863,,,,,0.000085847063,,,,,-0.001001782516,,,,,-0.000418142284,,,,,-0.000813469607,,,,,0.017099857330,,,,,0.009049415588,,,,,0.002700805664,,,,,0.000349998474,,,,,-0.002700805664,,,,,0.000000000000,,,,,-0.000849246979,,,,,-0.001648902893
0.769,,,,,0.000647585681,,,,,0.002045862952,,,,,0.000466990963,,,,,0.000429235313,,,,,-0.000556781667,,,,,-0.000073485983,,,,,-0.002145884833,,,,,0.016600131989,,,,,0.005249977112,,,,,0.001899719238,,,,,0.001749992371,,,,,-0.001501083374,,,,,0.000000000000,,,,,-0.000149250031,,,,,-0.004349708557
0.870,,,,,0.001819474609,,,,,0.001762369921,,,,,0.000516221938,,,,,-0.002195064946,,,,,0.000333220032,,,,,0.000320004454,,,,,-0.003428428586,,,,,0.014299869537,,,,,0.014750480652,,,,,0.002099990845,,,,,-0.008949279785,,,,,0.000898361206,,,,,0.000000000000,,,,,0.000649929047,,,,,-0.006949424744
0.971,,,,,0.000141751271,,,,,0.001626852730,,,,,0.000442609909,,,,,-0.001508288445,,,,,0.001075359763,,,,,-0.000122789677,,,,,-0.003428428586,,,,,0.013200283051,,,,,0.001149177551,,,,,0.001800537109,,,,,-0.006149291992,,,,,0.002899169922,,,,,0.000000000000,,,,,-0.000249385834,,,,,-0.006949424744
