,,Principle Stress =? 80% yield strength,,,,,,,,,(target)
TEST,Iteration,SG1,SG2,SG3,SG4,SG5,LVDT2,LVDT3,LVDT4,LVDT5,Applied Load
,,"1""","3.5""","5.5""","7.5""","9.5""","3.5""","5.5""","7.5""","9.5""",
Simulated,3,0.00037985,0.00031677,0.00012753,6.4455E-06,1.3757E-06,0.0029275,0.0087824,0.014637,0.026347,50
Simulated,4,0.00063815,0.00053218,0.00021426,0.00010828,2.3112E-06,0.0049181,0.014754,0.024591,0.044263,84
Simulated,5,0.0022259,0.0018563,0.00074735,0.00037771,8.06E-06,0.017155,0.051465,0.085775,0.15439,293
Simulated,6,0.0032212,0.0026862,0.0010815,0.00054658,1.17E-05,0.024825,0.074475,0.12412,0.22342,424
Simulated,7,0.0087594,0.0073048,0.002941,0.0014863,3.17E-05,0.067507,0.20252,0.33754,0.60757,1153
Simulated,1,0.011396,0.0095032,0.003826,0.0019337,0.000041272,0.087824,0.26347,0.43912,0.70259,1500
Simulated,8,0.016979,0.01416,0.0057008,0.0028811,6.15E-05,0.13086,0.39257,0.65429,1.1777,2235
Simulated,9,0.023946,0.019969,0.0080398,0.0040633,8.67E-05,0.18455,0.55364,0.92274,1.6609,3152
Simulated,10,0.027684,0.023086,0.0092947,0.0046975,0.00010026,0.21335,0.64006,1.0668,1.9202,3644
Simulated,11,0.030343,0.025304,0.010187,0.0051487,0.00010989,0.23385,0.70154,1.1692,2.1046,3994
Simulated,12,0.032379,0.027002,0.010871,0.0054942,0.00011727,0.24954,0.74861,1.2477,2.2458,4262
Simulated,13,0.041981,0.03501,0.014095,0.0071236,0.00015204,0.32354,0.97063,1.6177,2.9119,5526
Simulated,14,0.046502,0.038779,0.015613,0.0078906,0.00016842,0.35838,1.0751,1.7919,3.2254,6121
Simulated,15,0.052807,0.044038,0.01773,0.0089606,0.00019125,0.40698,1.2209,2.0349,3.6628,6951
Simulated,16,0.056697,0.047282,0.019036,0.0096206,0.00020534,0.43695,1.3109,2.1848,3.9326,7463
Simulated,17,0.058718,0.048967,0.019714,0.0099635,0.00021266,0.45253,1.3576,2.2626,4.0727,7729
Simulated,18,0.063056,0.052584,0.021171,0.0107,0.00022837,0.48596,1.4579,2.4298,4.3736,8300
Simulated,19,0.067447,0.056246,0.022645,0.011445,0.00024427,0.5198,1.5594,2.599,4.6782,8878
Simulated,20,0.068943,0.057494,0.023148,0.011699,0.00024969,0.53133,1.594,2.6567,4.782,9075
Simulated,21,0.071762,0.059845,0.024094,0.012177,0.0002599,0.55306,1.6592,2.7653,4.9775,9446
Simulated,22,0.072537,0.060491,0.024354,0.012308,0.00026271,0.55903,1.6771,2.7951,5.0313,9548
