SG1,SG2,SG3,SG4,SG5,LVDT1,LVDT2,LVDT3,LVDT4,LVDT5,applied_load,crack_length
0.626748825,0.483319545,0.31006357,0.560326135,0.370910629,0.037628907,0.084758844,0.040923021,0.03061484,0.021976663,10,0
0.872138214,0.980597429,0.68023308,0.32973394,0.126532325,0.002158409,0.009017562,0.081781553,0.075291014,0.063667474,10,0
0.847332762,0.793585246,0.275437001,0.552783396,0.924095896,0.02707712,0.02732852,0.001796449,0.009764774,0.050924969,10,0
0.875095395,0.807219102,0.172569298,0.530278805,0.432524898,0.07019838,0.026158907,0.079962153,0.060701376,0.067769414,10,0
0.314536297,0.595183909,0.378344726,0.211556556,0.439523022,0.099363719,0.01199879,0.031676233,0.025270178,0.083339739,10,0
0.52012024,0.763829201,0.932242001,0.086059998,0.130135314,0.06249868,0.069796169,0.051382489,0.019506075,0.01822236,10,0
0.587079004,0.648369658,0.370750091,0.571755178,0.420369981,0.070930744,0.030692188,0.011058939,0.073977333,0.063560875,10,0
0.955123835,0.615084991,0.083573163,0.665437488,0.225117599,0.055944125,0.085130035,0.088324625,0.059663568,0.005875479,10,0
0.588511149,0.050252667,0.753855882,0.261469833,0.486084181,0.085475528,0.033302969,0.075525616,0.07210172,0.026588023,10,0
0.324395458,0.150021245,0.098057005,0.680930101,0.804554609,0.095494741,0.063262531,0.096849215,0.044001334,0.020871977,10,0
0.774641462,0.342397556,0.728087828,0.340864751,0.402468474,0.089411709,0.017579534,0.094728621,0.059746914,0.075133888,10,0
0.483162964,0.155241133,0.328474216,0.718164801,0.366153746,0.069688623,0.094736446,0.078569549,0.082437204,0.018692486,10,0
0.258878625,0.514867822,0.930842406,0.427900041,0.976829205,0.029395895,0.023481515,0.09707854,0.01876368,0.00469522,10,0
0.432327159,0.59547315,0.03957993,0.538845835,0.892381764,0.003069515,0.007363967,0.041841108,0.058655615,0.00277385,10,0
0.971581124,0.711594823,0.265244739,0.048550015,0.906811164,0.051203465,0.06991651,0.025878544,0.090240502,0.032474031,10,0
0.623034769,0.009057118,0.201179427,0.640489654,0.044821872,0.038840698,0.073546306,0.064594653,0.025982293,0.049628521,10,0
0.868889076,0.686343889,0.773983267,0.67759668,0.360502808,0.047206085,0.083228163,0.029615552,0.007852085,0.0365217,10,0
0.165552703,0.909056598,0.925095003,0.257241284,0.515409388,0.036349616,0.021967956,0.020226123,0.091505817,0.061111846,10,0
0.09277898,0.119168185,0.945199743,0.173468659,0.856495523,0.000972907,0.088405469,0.082097,0.064910909,0.073199566,10,0
0.647676592,0.322882616,0.479797343,0.336179833,0.465585296,0.044413815,0.098529321,0.086617427,0.036505768,0.028694685,10,0
0.958891564,0.727522746,0.183998617,0.428180456,0.935139207,0.055706306,0.005129216,0.049239371,0.077105188,0.026079192,10,1
0.484506072,0.17695237,0.253326668,0.961033418,0.406982316,0.002590279,0.083367757,0.053606239,0.088971292,0.08495708,10,1
0.68425839,0.884301214,0.406374995,0.660891834,0.252402347,0.073777247,0.050854508,0.080032473,0.012698003,0.016542029,10,1
0.264394946,0.672238766,0.717817988,0.452100036,0.747484563,0.078818646,0.096492706,0.011156858,0.009757447,0.067437353,10,1
0.446907759,0.35550678,0.870450074,0.831727219,0.277647558,0.080347343,0.067631224,0.07377552,0.033446296,0.01584509,10,1
0.67196654,0.985325222,0.775255389,0.891403417,0.881864609,0.027341167,0.060594703,0.080990308,0.045692957,0.086217619,10,1
0.04149539,0.71598357,0.104427272,0.364153369,0.783155905,0.03036709,0.044098477,0.046256899,0.017807188,0.060540422,10,1
0.810059896,0.38951806,0.555533791,0.444357409,0.36682434,0.008167634,0.021971178,0.017797693,0.052183871,0.003135988,10,1
0.461313064,0.558599053,0.355076519,0.373812466,0.830852097,0.038269987,0.094753516,0.091602706,0.054763368,0.091289461,10,1
0.538017368,0.602619249,0.481855425,0.219068704,0.430704476,0.080905136,0.036822834,0.079064777,0.019341782,0.05786057,10,1
0.069725288,0.825814224,0.585309955,0.008981689,0.028488213,0.084417586,0.063913718,0.092016432,0.066090953,0.05436015,10,1
0.181124436,0.157333315,0.641265862,0.005234454,0.822400649,0.090916378,0.054639285,0.01495894,0.022605512,0.056575787,10,1
0.508900475,0.294201233,0.608227129,0.562068156,0.63244374,0.040356729,0.009388334,0.000983328,0.008519474,0.050903384,10,1
0.697851837,0.301436412,0.38444706,0.239282938,0.182208194,0.017931786,0.056981794,0.06458179,0.019034364,0.098296256,10,1
0.513597125,0.086426651,0.981868206,0.948132644,0.138669043,0.097719579,0.058124507,0.007974394,0.086877453,0.02754052,10,1
0.099199382,0.204583572,0.760992317,0.3724223,0.09533748,0.07395475,0.061826509,0.015157416,0.040962517,0.05364591,10,1
0.553204662,0.891989445,0.773990163,0.238489248,0.166747841,0.070157669,0.054692458,0.031663321,0.092395693,0.090063404,10,1
0.017600709,0.242676321,0.922433823,0.089297125,0.992377038,0.08818556,0.048527124,0.046173367,0.001025785,0.022922257,10,1
0.742263781,0.97872684,0.319284047,0.042242984,0.922825345,0.065050527,0.082749803,0.000675518,0.08402788,0.016787166,10,1
0.814892712,0.38239778,0.449695022,0.573198608,0.675162274,0.077338171,0.027417208,0.054265065,0.032663636,0.063538803,10,1
0.641693053,0.476931064,0.984027602,0.09682453,0.163093004,0.095024068,0.03167154,0.013187516,0.015787202,0.082966887,10,2
0.304298317,0.190129172,0.241006881,0.228222804,0.802122459,0.042818922,0.012825751,0.013546141,0.099287574,0.017146435,10,2
0.147451091,0.086567047,0.503350413,0.499018111,0.745946548,0.054999115,0.003501843,0.094455085,0.095937761,0.085626514,10,2
0.224088202,0.214506254,0.106995436,0.30207402,0.75305525,0.015816096,0.038625772,0.014198485,0.084648904,0.099233135,10,2
0.827822877,0.325140618,0.35431617,0.363565062,0.206823353,0.062632938,0.065891716,0.025869829,0.011463929,0.099782263,10,2
0.720059477,0.340916846,0.276574467,0.211141194,0.491900083,0.085952089,0.067501723,0.043625678,0.082833515,0.023096327,10,2
0.530376515,0.042236418,0.448635817,0.32802726,0.741195973,0.06729964,0.002443966,0.026731717,0.084850312,0.08591553,10,2
0.475744088,0.545644897,0.617927877,0.057507787,0.855148652,0.007474686,0.069400256,0.0168646,0.062770385,0.04737949,10,2
0.681775857,0.660101984,0.741333763,0.604627378,0.731573372,0.070298475,0.028058408,0.041711074,0.024978897,0.025466628,10,2
0.466487412,0.857010687,0.351010843,0.233425244,0.576326282,0.082557081,0.006021913,0.000666014,0.078598169,0.085153354,10,2
0.752751993,0.392595315,0.773265598,0.743488837,0.227502429,0.024474288,0.020150875,0.041509804,0.034219823,0.053217936,10,2
0.409695817,0.424121453,0.193585632,0.888596044,0.946966443,0.033511771,0.067742135,0.069794172,0.043162006,0.072366507,10,2
0.910266965,0.896142853,0.670148284,0.857202079,0.804882694,0.024467038,0.03302657,0.077909643,0.082415639,0.066431165,10,2
0.217949958,0.391144072,0.810918155,0.577110313,0.044480006,0.091257206,0.080850652,0.0238634,0.036701231,0.047105737,10,2
0.378653536,0.029942905,0.409639367,0.229583801,0.141715607,0.003900183,0.012094208,0.061898046,0.064009152,0.026649339,10,2
0.325775351,0.326449751,0.074757478,0.594049632,0.830146843,0.070162334,0.007060969,0.097373624,0.074004549,0.031600075,10,2
0.330468265,0.071278596,0.825365499,0.24412579,0.134565187,0.023611277,0.015808853,0.058734399,0.015422433,0.038149262,10,2
0.713933739,0.113759691,0.316338489,0.222733669,0.680718279,0.0278013,0.027985649,0.09541969,0.061706354,0.012104366,10,2
0.861761177,0.91220408,0.266581578,0.84583055,0.513509503,0.014576528,0.047399431,0.062696478,0.076512358,0.085619805,10,2
0.458772512,0.136635472,0.675410349,0.429763632,0.061749045,0.015002096,0.033558645,0.031234856,0.0296496,0.074694355,10,2
0.697598083,0.118580147,0.453829037,0.971997708,0.120477131,0.037092453,0.062680848,0.002745728,0.089884444,0.048296813,10,3
0.080399601,0.783223388,0.570552601,0.446670313,0.704412578,0.053339869,0.035968016,0.066327984,0.039502719,0.043674659,10,3
0.480709589,0.725537319,0.238229479,0.040867708,0.609368028,0.025177371,0.093628232,0.026486452,0.036594328,0.097623834,10,3
0.152358911,0.753862756,0.26604064,0.47323746,0.368713509,0.002064381,0.060683747,0.05915301,0.008801903,0.004140103,10,3
0.776262709,0.005575218,0.807757406,0.912204306,0.15804812,0.072338494,0.008918811,0.091203111,0.043631541,0.019564773,10,3
0.012422786,0.093467128,0.945265635,0.955846246,0.819549339,0.037186574,0.001780829,0.097810544,0.011101084,0.082065328,10,3
0.846045393,0.707640178,0.684216788,0.422237779,0.283400739,0.081771652,0.049989194,0.002634809,0.025995073,0.068554604,10,3
0.177598495,0.549904082,0.477607997,0.957846872,0.868808086,0.035271098,0.032768467,0.018329317,0.002166425,0.036048007,10,3
0.479398388,0.850420235,0.163538533,0.593812488,0.367461178,0.071901006,0.057264181,0.076754512,0.04977461,0.065526193,10,3
0.387206964,0.44512187,0.682611893,0.349771441,0.999336429,0.044003967,0.020110592,0.008373039,0.070646354,0.063541645,10,3
0.538149062,0.218157894,0.102969247,0.398051449,0.769935627,0.028279334,0.00567724,0.063155112,0.00579004,0.052808489,10,3
0.635594829,0.51484714,0.856967011,0.862321136,0.710103423,0.086158111,0.046832062,0.030798967,0.008422762,0.047524071,10,3
0.348890268,0.363339133,0.630090816,0.079440757,0.629707491,0.085312943,0.004614444,0.028559434,0.023494422,0.054663529,10,3
0.429759819,0.244934072,0.026299967,0.842450247,0.649453818,0.058971145,0.05852204,0.086010222,0.094558433,0.080959608,10,3
0.760986443,0.534475419,0.834460507,0.253257204,0.43289428,0.06797597,0.023808819,0.020811079,0.093139853,0.094008457,10,3
0.183837791,0.135323408,0.845868056,0.912270168,0.094327426,0.084784377,0.03156512,0.020197301,0.077552601,0.079129939,10,3
0.491051585,0.964635757,0.929956706,0.923583536,0.702547414,0.047398502,0.078788614,0.063421866,0.035877896,0.033586049,10,3
0.503362313,0.099658521,0.953329802,0.898547081,0.094182844,0.089716446,0.031501221,0.059345959,0.084857451,0.029709007,10,3
